iter	Passed	Remaining
473	646	717
474	647	715
475	648	713
476	648	711
477	649	708
478	650	707
479	651	705
480	651	703
481	652	701
482	652	698
483	663	707
484	663	704
485	664	702
486	665	700
487	665	698
488	666	696
489	667	694
490	667	692
491	668	690
492	668	687
493	674	691
494	676	690
495	677	688
496	678	686
497	679	684
498	679	682
499	680	680
500	680	678
501	681	675
502	682	673
503	682	671
504	683	669
505	683	667
506	684	665
507	690	668
508	691	666
509	692	664
510	692	662
511	693	660
512	694	659
513	694	656
514	695	654
515	695	652
516	696	650
517	696	648
518	697	646
519	697	644
520	698	642
521	698	639
522	699	637
523	699	635
524	701	635
525	703	633
526	703	631
527	704	629
528	705	627
529	705	625
530	706	623
531	706	621
532	707	619
533	708	617
534	708	615
535	709	613
536	709	611
537	709	609
538	710	607
539	710	605
540	711	603
541	711	601
542	712	599
543	712	597
544	713	595
545	714	593
546	714	591
547	715	589
548	715	587
549	721	590
550	722	588
551	722	586
552	723	584
553	723	582
554	724	580
555	724	578
556	725	576
557	725	574
558	726	572
559	726	570
560	727	569
561	727	567
562	728	565
563	728	563
564	729	561
565	729	559
566	729	557
567	730	555
568	731	553
569	734	554
570	735	552
571	737	551
572	738	550
573	738	548
574	739	546
575	740	544
576	740	543
577	741	541
578	742	539
579	742	537
580	742	535
581	743	533
582	743	532
583	744	530
584	744	528
585	745	526
586	745	524
587	746	522
588	747	521
589	753	523
590	754	522
591	755	520
592	755	518
593	756	517
594	756	515
595	757	513
596	757	511
597	758	509
598	758	507
599	759	506
600	759	504
601	760	502
602	760	500
603	761	499
604	761	497
605	762	495
606	766	496
607	767	494
608	768	493
609	769	491
610	769	490
611	770	488
612	770	486
613	771	484
614	771	483
615	772	481
616	772	479
617	773	477
618	773	476
619	774	474
620	774	472
621	775	471
622	775	469
623	776	467
624	776	465
625	777	464
626	777	462
627	782	463
628	784	462
629	784	460
630	785	459
631	785	457
632	786	455
633	786	454
634	787	452
635	788	451
636	788	449
637	789	447
638	789	446
639	790	444
640	790	442
641	791	441
642	791	439
643	791	437
644	792	436
645	792	434
646	794	433
647	795	432
648	799	432
649	800	430
650	800	429
651	801	427
652	801	426
653	802	424
654	803	422
655	803	421
656	805	420
657	806	419
658	807	417
659	807	416
660	808	414
661	808	412
662	811	412
663	812	411
664	813	409
665	814	408
666	814	406
667	815	405
668	815	403
669	816	402
670	816	400
671	817	399
672	818	397
673	818	396
674	819	394
675	819	392
676	820	391
677	820	389
678	821	388
679	821	386
680	822	385
681	822	383
682	828	384
683	829	383
684	829	381
685	830	380
686	831	378
687	831	377
688	831	375
689	832	374
690	833	372
691	834	371
692	834	369
693	834	368
694	835	366
695	835	365
696	836	363
697	836	362
698	837	360
699	837	359
700	838	357
701	845	358
702	846	357
703	848	356
704	850	355
705	850	354
706	851	352
707	852	351
708	852	350
709	853	348
710	853	347
711	856	346
712	863	347
713	864	346
714	864	344
715	865	343
716	865	341
717	866	340
718	866	338
719	867	337
720	867	335
721	868	334
722	868	332
723	869	331
724	869	329
725	874	330
726	875	328
727	876	327
728	877	326
729	878	324
730	878	323
731	879	321
732	879	320
733	880	319
734	880	317
735	881	316
736	881	314
737	882	313
738	882	311
739	883	310
740	883	308
741	884	307
742	885	306
743	885	304
744	890	304
745	891	303
746	892	302
747	892	300
748	893	299
749	893	297
750	894	296
751	894	294
752	894	293
753	895	292
754	895	290
755	896	289
756	896	287
757	897	286
758	897	285
759	898	283
760	899	282
761	899	280
762	903	280
763	905	279
764	906	278
765	907	277
766	908	275
767	908	274
768	909	273
769	909	271
770	910	270
771	910	268
772	911	267
773	911	266
774	911	264
775	912	263
776	913	262
777	913	260
778	914	259
779	914	258
780	917	257
781	918	256
782	919	254
783	920	253
784	921	252
785	922	251
786	923	249
787	923	248
788	924	247
789	924	245
790	925	244
791	925	243
792	926	241
793	926	240
794	927	239
795	927	237
796	928	236
797	928	235
798	929	233
799	929	232
800	930	231
801	937	231
802	938	230
803	939	228
804	939	227
805	940	226
806	940	225
807	941	223
808	942	222
809	943	221
810	944	220
811	944	218
812	951	218
813	953	217
814	954	216
815	954	215
816	955	214
817	956	212
818	956	211
819	957	210
820	958	208
821	958	207
822	958	206
823	959	204
824	959	203
825	960	202
826	960	200
827	966	200
828	967	199
829	968	198
830	968	197
831	969	195
832	970	194
833	970	193
834	971	191
835	972	190
836	972	189
837	973	188
838	973	186
839	974	185
840	974	184
841	975	182
842	975	181
843	981	181
844	981	180
845	982	178
846	982	177
847	983	176
848	983	174
849	984	173
850	984	172
851	985	171
852	985	169
853	986	168
854	986	167
855	987	166
856	987	164
857	988	163
858	988	162
859	989	161
860	991	160
861	994	159
862	995	158
863	996	156
864	996	155
865	997	154
866	997	153
867	998	151
868	998	150
869	999	149
870	999	148
871	1000	146
872	1000	145
873	1001	144
874	1001	143
875	1002	141
876	1002	140
877	1003	139
878	1003	138
879	1004	136
880	1004	135
881	1007	134
882	1009	133
883	1010	132
884	1010	131
885	1011	130
886	1012	128
887	1012	127
888	1013	126
889	1013	125
890	1014	124
891	1014	122
892	1015	121
893	1015	120
894	1016	119
895	1016	118
896	1017	116
897	1017	115
898	1018	114
899	1018	113
900	1019	111
901	1019	110
902	1020	109
903	1020	108
904	1021	107
905	1022	106
906	1022	104
907	1023	103
908	1024	102
909	1024	101
910	1025	100
911	1025	98
912	1025	97
913	1026	96
914	1026	95
915	1027	94
916	1028	93
917	1028	91
918	1029	90
919	1029	89
920	1030	88
921	1033	87
922	1036	86
923	1037	85
924	1039	84
925	1039	83
926	1040	81
927	1041	80
928	1041	79
929	1042	78
930	1042	77
931	1043	76
932	1043	74
933	1044	73
934	1044	72
935	1050	71
936	1050	70
937	1051	69
938	1052	68
939	1052	67
940	1053	66
941	1053	64
942	1054	63
943	1055	62
944	1055	61
945	1056	60
946	1056	59
947	1057	57
948	1057	56
949	1058	55
950	1058	54
951	1059	53
952	1059	52
953	1060	51
954	1061	50
955	1062	48
956	1063	47
957	1064	46
958	1064	45
959	1065	44
960	1065	43
961	1066	42
962	1066	40
963	1067	39
964	1067	38
965	1068	37
966	1068	36
967	1069	35
968	1069	34
969	1070	33
970	1070	31
971	1071	30
972	1072	29
973	1072	28
974	1072	27
975	1073	26
976	1075	25
977	1076	24
978	1077	23
979	1078	22
980	1078	20
981	1079	19
982	1079	18
983	1080	17
984	1080	16
985	1081	15
986	1082	14
987	1082	13
988	1083	12
989	1083	10
990	1084	9
991	1084	8
992	1085	7
993	1085	6
994	1085	5
995	1086	4
996	1086	3
997	1087	2
998	1087	1
999	1088	0
